word,count
war,6
ai,6
rbi,4
rupee,4
indias,4
oil,4
defence,3
price,3
time,3
hit,3
content,3
l,3
bengal,3
news,3
today,3
police,3
heres,3
cuts,3
shock,3
stocks,3
global,3
world,3
using,3
phytrade,3
top,2
job,2
census,2
offshore,2
tightens,2
digest,2
actor,2
rafale,2
f,2
even,2
dhurandhar,2
govt,2
urban,2
suzuki,2
times,2
oversight,2
judicial,2
officers,2
decide,2
claims,2
completed,2
gulf,2
new,2
sc,2
take,2
april,2
full,2
live,2
updates,2
bill,2
report,2
day,2
rs,2
norms,2
jk,2
spreading,2
singapore,2
staff,2
steps,2
quick,2
jet,2
fuel,2
indigo,2
stock,2
market,2
buy,2
era,2
education,2
march,2
firms,2
tata,2
indian,2
momentum,2
tv,2
threat,2
make,2
oracles,2
deep,2
capital,2
fy,2
bank,2
inside,2
signal,2
optimization,2
hybrid,2
nutritional,2
data,2
study,2
gets,2
first,2
added,2
scientific,2
colleges,1
defy,1
gloom,1
placements,1
rise,1
salaries,1
climb,1
selfenumeration,1
president,1
murmu,1
vp,1
pm,1
modi,1
kicks,1
bans,1
banks,1
offering,1
clients,1
bets,1
rally,1
fx,1
curbs,1
traders,1
trump,1
remarks,1
expert,1
madhavans,1
knowledge,1
fighter,1
aircraft,1
like,1
years,1
surprises,1
fans,1
suggested,1
go,1
drugresistant,1
typhoid,1
drives,1
disease,1
costs,1
children,1
suffer,1
toyota,1
cruiser,1
ev,1
malaysia,1
rebadged,1
evitara,1
km,1
range,1
cbu,1
rmk,1
donkey,1
milk,1
ancient,1
superfood,1
gaining,1
modern,1
popularity,1
south,1
biz,1
lpg,1
hiked,1
rd,1
month,1
industries,1
eateries,1
expanded,1
regulatory,1
online,1
long,1
coming,1
say,1
political,1
creators,1
apr,1
supreme,1
court,1
exempts,1
chemicals,1
import,1
duty,1
economic,1
nepals,1
business,1
snap,1
batters,1
glass,1
heartland,1
testing,1
delhis,1
manufacturing,1
drive,1
iran,1
disrupts,1
supplies,1
affect,1
access,1
medicines,1
reserving,1
verdicts,1
judges,1
delhi,1
weather,1
imd,1
issues,1
yellow,1
alert,1
weekend,1
warns,1
rain,1
thunderstorms,1
lightning,1
check,1
forecast,1
breaking,1
amit,1
shah,1
move,1
central,1
armed,1
forces,1
general,1
administration,1
lok,1
sabha,1
wto,1
wobbly,1
dont,1
dismiss,1
potential,1
plurilateral,1
pacts,1
among,1
willing,1
nations,1
boxoffice,1
ranveer,1
singhs,1
film,1
approaches,1
crore,1
crosses,1
prequels,1
collection,1
forex,1
derivatives,1
steady,1
amid,1
volatility,1
despite,1
revamp,1
amc,1
beijing,1
embassy,1
uninhabitable,1
cag,1
mizoram,1
leads,1
northeast,1
digital,1
rollout,1
nc,1
member,1
brings,1
land,1
grants,1
house,1
opposition,1
hurls,1
gulmarg,1
hotel,1
taunt,1
cm,1
bought,1
flat,1
parking,1
small,1
far,1
away,1
homebuyer,1
filed,1
case,1
lost,1
rera,1
doc,1
wife,1
chargesheeted,1
uapa,1
secessionist,1
social,1
media,1
airlines,1
direct,1
rtn,1
ex,1
per,1
drw,1
bne,1
mel,1
syd,1
cns,1
btf,1
oracle,1
jitters,1
stall,1
fintech,1
ipos,1
presidents,1
colour,1
conferred,1
meghalaya,1
exemplary,1
service,1
doubles,1
curbing,1
speculation,1
initial,1
fall,1
short,1
mint,1
edit,1
iocs,1
flipflop,1
airfares,1
deserve,1
protection,1
watch,1
thursday,1
wipro,1
lupin,1
glenmark,1
agi,1
infra,1
aavas,1
financier,1
sail,1
four,1
astronauts,1
begin,1
journey,1
marking,1
space,1
travel,1
premarket,1
action,1
trade,1
setup,1
todays,1
session,1
monthly,1
buzz,1
consulting,1
audit,1
hiring,1
freeze,1
loom,1
power,1
maruti,1
adani,1
green,1
collapse,1
reverses,1
incs,1
capex,1
trai,1
loses,1
ratings,1
takes,1
control,1
mahindras,1
spot,1
motors,1
gathers,1
regulator,1
may,1
pharma,1
inspections,1
public,1
scrutiny,1
bulls,1
stage,1
markets,1
hope,1
curtains,1
pivot,1
lays,1
workforce,1
sahi,1
eyes,1
million,1
accel,1
growth,1
bessemer,1
others,1
ecommerce,1
commerce,1
chasing,1
